SMILES,class
CS(=O)(=O)N1Cc2cc(F)c(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,1.0
Cc1[nH]ncc1NC(=O)Cc1cccc(Cl)c1,0.0
CC(C)N(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,1.0
C[C@H](C(=O)Nc1cncnc1)c1ccccc1,0.0
CS(=O)(=O)N1CCc2ccc(CN3CCN(C(=O)CCl)CC3)cc2C1,0.0
O=C(NCCc1ccccc1)[C@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,1.0
O=C(Nc1cncc2ccccc12)C1(CCC2CC2)CCOc2ccc(Cl)cc21,0.0
O=C(Cc1cccc(Cl)c1)Nc1cnc2n1CCCC2,0.0
COc1ccc2cncc(NC(=O)[C@@]3(OC)CCOc4ccc(Cl)cc43)c2c1,1.0
CNS(=O)(=O)c1ccc2cncc(NC(=O)C3(OC)CCOc4ccc(Cl)cc43)c2c1,1.0
CS(=O)(=O)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,0.0
COc1cc(Br)ccc1Nc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,1.0
NCc1cn(CC(=O)N(Cc2ccsc2)c2ccc(-c3ccccc3)cc2)nn1,0.0
COc1ccc(Cl)cc1CC(=O)Nc1cncc2ccccc12,1.0
COc1ccc2c(NC(=O)Cc3cccc(Cl)c3)[nH]nc2c1,0.0
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1,1.0
O=C(NCc1ccccn1)[C@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,1.0
CNC(=O)CN1CC(C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,1.0
Cc1cc(N2CCC(C)N(Cc3ccccc3)CC2)n2ncnc2n1,0.0
COc1cccc(Oc2cc(Cl)cc(NC(=O)Cc3cncc4ccccc34)c2)n1,1.0
O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1CS(=O)(=O)C1)Cc1ccc(Cl)cc12,1.0
CC(CCc1ccccc1)N1CCN(C(=O)CCl)CC1,0.0
O=C(Nc1cncc2ccccc12)C1(CNCc2cnn(C3CCS(=O)(=O)C3)c2)CCOc2ccc(Cl)cc21,0.0
O=C(c1cncc2ccccc12)N1CCN(c2cccc(Cl)c2)CC1,1.0
COc1ccncc1NC(=O)Cc1cccc(Cl)c1,0.0
CN(C)S(=O)(=O)c1cccc(C(=O)Nc2c(-c3ccccc3)nc3sccn23)c1,0.0
NC(=O)N1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc21,1.0
O=C(Cc1cccc(Cl)c1)Nc1c[nH]c2ccccc12,0.0
O=C(Cc1cc(F)cc(Cl)c1)Nc1cncc2ccccc12,1.0
Cn1c(-c2ccc(NC(=O)C3CCCCC(=O)N3)cc2)nc2ccccc21,0.0
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)c1ccc2nc(C(F)(F)F)[nH]c2c1,0.0
O=C(Nc1cncc2ccccc12)[C@H]1CCOc2ccc(Cl)cc21,0.0
O=C(c1cc(F)cc(F)c1)N1CCOc2cc(O)ccc2C1,0.0
COc1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1OCCO,0.0
O=C(Nc1cncc2cnccc12)[C@H]1CCOc2ccc(Cl)cc21,1.0
COC(=O)C(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,0.0
O=C(CCl)N1CCN(Cc2cccc3ccccc23)CC1,1.0
